2020-03-15 00:10:24,556 com.zaxxer.hikari.pool.HikariPool [HikariPool-1 housekeeper] (HikariPool.java:779) WARN  --> HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=18m19s290ms69µs).
2020-03-16 10:44:00,501 com.zaxxer.hikari.pool.HikariPool [HikariPool-1 housekeeper] (HikariPool.java:779) WARN  --> HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1d9h49m13s984ms239µs600ns).
2020-03-16 12:38:36,324 com.zaxxer.hikari.pool.HikariPool [HikariPool-1 housekeeper] (HikariPool.java:779) WARN  --> HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=25m4s584ms221µs200ns).
2020-03-16 14:31:40,433 com.zaxxer.hikari.pool.HikariPool [HikariPool-1 housekeeper] (HikariPool.java:779) WARN  --> HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=48m33s715ms409µs400ns).
2020-03-16 15:46:18,356 com.zaxxer.hikari.pool.HikariPool [HikariPool-1 housekeeper] (HikariPool.java:779) WARN  --> HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=30m7s651ms890µs600ns).
2020-03-16 20:31:22,193 com.zaxxer.hikari.pool.HikariPool [HikariPool-1 housekeeper] (HikariPool.java:779) WARN  --> HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=3h54m12s278ms104µs301ns).
2020-03-16 20:42:56,860 cn.hlsxn.fullmarks.service.UserService [http-nio-8079-exec-3] (UserService.java:69) INFO  --> 登錄用戶:User{uid=1, username='dddddddd', unumber=15212341234, uemail='1234@qq.com', uuid='ldfksajfadsnfkladjfoij1p3092ld', ustatus=1, uname='1421', uface='null', ugrade=200, ugold=0, roles=[Role{rid=1, roleName='ROLE_COMMON', roleDesc='普通玩家'}]}
2020-03-16 20:42:57,268 cn.hlsxn.fullmarks.controller.config.SecurityConfig [http-nio-8079-exec-3] (SecurityConfig.java:98) INFO  --> user:User{uid=1, username='dddddddd', unumber=15212341234, uemail='1234@qq.com', uuid='ldfksajfadsnfkladjfoij1p3092ld', ustatus=1, uname='1421', uface='null', ugrade=200, ugold=0, roles=[Role{rid=1, roleName='ROLE_COMMON', roleDesc='普通玩家'}]}
2020-03-16 20:43:14,180 cn.hlsxn.fullmarks.service.UserService [http-nio-8079-exec-9] (UserService.java:69) INFO  --> 登錄用戶:User{uid=1, username='dddddddd', unumber=15212341234, uemail='1234@qq.com', uuid='ldfksajfadsnfkladjfoij1p3092ld', ustatus=1, uname='1421', uface='null', ugrade=200, ugold=0, roles=[Role{rid=1, roleName='ROLE_COMMON', roleDesc='普通玩家'}]}
2020-03-16 20:43:14,368 cn.hlsxn.fullmarks.controller.config.SecurityConfig [http-nio-8079-exec-9] (SecurityConfig.java:110) INFO  --> Bad credentials
2020-03-16 20:43:14,368 cn.hlsxn.fullmarks.controller.config.SecurityConfig [http-nio-8079-exec-9] (SecurityConfig.java:111) INFO  --> Bad credentials
2020-03-16 20:43:14,368 cn.hlsxn.fullmarks.controller.config.SecurityConfig [http-nio-8079-exec-9] (SecurityConfig.java:114) INFO  --> 登录失败:org.springframework.security.authentication.BadCredentialsException: Bad credentials
